Number of true negative reads: 1352.

id	correct_species_taxid	correct_genus_taxid	script_species_taxid	script_genus_taxid
ca13881f-1931-4e40-159b-47678bc5d021	287	286	*	*
6fc636d9-a344-3bd7-d6c2-e57397e68b82	28901	590	*	*
85157a26-3382-16e8-5e00-02b18adeffc6	1423	1386	*	*
ad4ce72a-bce4-2f8f-2354-fe22f9cc567a	-	-	*	*
23c8f2a7-d5df-c2ad-b0c9-fadea18006c1	-	-	*	*
a45a1a73-e042-c19e-77de-174c32dbe68d	-	-	*	*
39ae8265-75b7-22bd-bf75-46c9428911db	-	-	*	*
bfdfa38d-aa74-8834-deee-ae5f0117e81a	-	-	*	*
2ad9e2fb-b02b-528f-98e8-fd18a159b1a6	-	-	*	*
06d9a615-fa3e-3c59-b3e3-594b208c1a20	-	-	*	*
0a8001a8-3d18-f7bd-dc22-7d4fd1712842	-	-	*	*
0e11a93f-552b-3da2-4b12-61b8f4998cce	1613	2742598	*	*
2c869f5a-7c24-d22b-5201-bf7ca9a73f27	28901	590	*	*
33d6bd07-4ed3-75c6-4bdf-7a5807ba320b	-	-	*	*
2d37ee20-cb42-7483-7cd3-3dfa7b2abcc2	-	-	*	*
6bac7f6d-38bb-d388-2b1f-1861f95fb692	-	-	*	*
36cb854a-fb06-9bee-9824-6b3fd42348f9	1423	1386	*	*
dcd0d91f-01ff-d726-da31-86527096e17e	-	-	*	*
2612a2a1-1e6f-e820-5a92-9074e0382172	-	-	*	*
1f799891-c4e8-ae4a-f94c-e7a7fd67d367	-	-	*	*
d6467adb-53ab-5783-7aff-d22f74061c76	-	-	*	*
e8e8a745-5e06-91eb-396d-38616d5d94b8	287	286	*	*
770edc56-8de6-b293-9576-b24856ad03b6	562	561	*	*
4525b320-9254-2907-e2b4-bd2672c0913c	1351	1350	*	*
08a591b7-05e0-5ad5-c0a8-2024d35059e9	1613	2742598	*	*
ec4ac4e5-a92c-db72-3d02-a963199170fb	562	561	*	*
e3c5617b-8901-b8db-4ef4-8e099532c602	1423	1386	*	*
82639cd7-3667-bcc2-8d63-7faf5a2b6bf2	1351	1350	*	*
07bd8887-31e1-a6f1-95a7-3ca6788e6566	-	-	*	*
09120ca2-8b80-3777-3595-3076b00e6045	562	561	*	*
f40cdc97-396b-c785-3690-c49473183ef5	-	-	*	*
b4abb273-fa5c-ab1b-7e17-08d1c2d7bb76	-	-	*	*
f91a17d4-ba67-fda7-1cf0-a70613d3f590	287	286	*	*
e6d717fd-caf0-3795-23a0-aba9debdc5c0	-	-	*	*
37f47d5e-ed5c-0d88-3ee8-b620bc8049f3	-	-	*	*
0f8c5adf-eb15-b217-18b0-d927eb7c80ad	28901	590	*	*
77a1b0b2-2697-c8fe-4ddf-4f5199b54f30	-	-	*	*
ceddee0e-d7f3-835f-8f47-c907ea9130a6	-	-	*	*
8baffd41-98c1-f2ad-fac8-167ca6e6ffda	-	-	*	*
4cf6cb76-f582-40ad-58d3-50a46a7758db	-	-	*	*
